text,type,categorie,video
crucificar,verbo,religion,https://media.spreadthesign.com/video/mp4/5/271487.mp4
bola de cristal,nombre,religion,https://media.spreadthesign.com/video/mp4/5/58822.mp4
cupido,nombre,religion,https://media.spreadthesign.com/video/mp4/5/58820.mp4
maldición,nombre,religion,https://media.spreadthesign.com/video/mp4/5/475931.mp4
privar,verbo,religion,https://media.spreadthesign.com/video/mp4/5/190971.mp4
tumba,nombre,religion,https://media.spreadthesign.com/video/mp4/5/179625.mp4
duende,nombre,religion,https://media.spreadthesign.com/video/mp4/5/475766.mp4
avidez,nombre,religion,https://media.spreadthesign.com/video/mp4/5/151019.mp4
duende malvado,nombre,religion,https://media.spreadthesign.com/video/mp4/5/330689.mp4
evangelio,nombre,religion,https://media.spreadthesign.com/video/mp4/5/153408.mp4
gigante,nombre,religion,https://media.spreadthesign.com/video/mp4/5/330784.mp4
cuáquero,nombre,religion,https://media.spreadthesign.com/video/mp4/5/64771.mp4
budismo,nombre,religion,https://media.spreadthesign.com/video/mp4/5/275813.mp4
Buda,nombre,religion,https://media.spreadthesign.com/video/mp4/5/276016.mp4
templo,nombre,religion,https://media.spreadthesign.com/video/mp4/5/67414.mp4
trono,nombre,religion,https://media.spreadthesign.com/video/mp4/5/71750.mp4
tumba,nombre,religion,https://media.spreadthesign.com/video/mp4/5/157253.mp4
amuleto,nombre,religion,https://media.spreadthesign.com/video/mp4/5/276933.mp4
Hechos de los Apóstoles,nombre,religion,https://media.spreadthesign.com/video/mp4/5/246405.mp4
ateo,nombre,religion,https://media.spreadthesign.com/video/mp4/5/35810.mp4
ahijado/a,nombre,religion,https://media.spreadthesign.com/video/mp4/5/672557.mp4
perezoso,adjetivo,religion,https://media.spreadthesign.com/video/mp4/5/299303.mp4
vida eterna,nombre,religion,https://media.spreadthesign.com/video/mp4/5/298788.mp4
codicioso,adjetivo,religion,https://media.spreadthesign.com/video/mp4/5/299151.mp4
celos,nombre,religion,https://media.spreadthesign.com/video/mp4/5/299156.mp4
ofensa,nombre,religion,https://media.spreadthesign.com/video/mp4/5/299834.mp4
maldito,adjetivo,religion,https://media.spreadthesign.com/video/mp4/5/298874.mp4
paraíso,nombre,religion,https://media.spreadthesign.com/video/mp4/5/148304.mp4
escuela religiosa,nombre,religion,https://media.spreadthesign.com/video/mp4/5/271367.mp4
cura,nombre,religion,https://media.spreadthesign.com/video/mp4/5/672537.mp4
remordimiento,nombre,religion,https://media.spreadthesign.com/video/mp4/5/299196.mp4
revelación,nombre,religion,https://media.spreadthesign.com/video/mp4/5/299962.mp4
veneración,nombre,religion,https://media.spreadthesign.com/video/mp4/5/299296.mp4
éxtasis ,nombre,religion,https://media.spreadthesign.com/video/mp4/5/299186.mp4
Cristiano,nombre,religion,https://media.spreadthesign.com/video/mp4/5/271472.mp4
catecismo,nombre,religion,https://media.spreadthesign.com/video/mp4/5/330621.mp4
engaño,nombre,religion,https://media.spreadthesign.com/video/mp4/5/330873.mp4
cristología,nombre,religion,https://media.spreadthesign.com/video/mp4/5/271473.mp4
condena,nombre,religion,https://media.spreadthesign.com/video/mp4/5/330650.mp4
condenar,verbo,religion,https://media.spreadthesign.com/video/mp4/5/246411.mp4
diablo,nombre,religion,https://media.spreadthesign.com/video/mp4/5/17847.mp4
ángel,nombre,religion,https://media.spreadthesign.com/video/mp4/5/17857.mp4
Niño Jesús,nombre,religion,https://media.spreadthesign.com/video/mp4/5/230201.mp4
portal de Belén,nombre,religion,https://media.spreadthesign.com/video/mp4/5/284654.mp4
católico,nombre,religion,https://media.spreadthesign.com/video/mp4/5/175554.mp4
cristianismo,nombre,religion,https://media.spreadthesign.com/video/mp4/5/271471.mp4
elfo,nombre,religion,https://media.spreadthesign.com/video/mp4/5/148342.mp4
sabbat,nombre,religion,https://media.spreadthesign.com/video/mp4/5/163448.mp4
sagrado,adjetivo,religion,https://media.spreadthesign.com/video/mp4/5/163540.mp4
superstición,nombre,religion,https://media.spreadthesign.com/video/mp4/5/179847.mp4
Alá,nombre,religion,https://media.spreadthesign.com/video/mp4/5/276014.mp4
encantamiento,nombre,religion,https://media.spreadthesign.com/video/mp4/5/330858.mp4
protestante,nombre,religion,https://media.spreadthesign.com/video/mp4/5/192948.mp4
San José,nombre,religion,https://media.spreadthesign.com/video/mp4/5/230240.mp4
Virgen María,nombre,religion,https://media.spreadthesign.com/video/mp4/5/230261.mp4
los Reyes Magos,nombre,religion,https://media.spreadthesign.com/video/mp4/5/281236.mp4
adviento,nombre,religion,https://media.spreadthesign.com/video/mp4/5/18564.mp4
bruja,nombre,religion,https://media.spreadthesign.com/video/mp4/5/15332.mp4
engañar,verbo,religion,https://media.spreadthesign.com/video/mp4/5/15792.mp4
arte religioso,nombre,religion,https://media.spreadthesign.com/video/mp4/5/278336.mp4
díptico,nombre,religion,https://media.spreadthesign.com/video/mp4/5/330671.mp4
arrepentido,adjetivo,religion,https://media.spreadthesign.com/video/mp4/5/175473.mp4
monstruo,nombre,religion,https://media.spreadthesign.com/video/mp4/5/16397.mp4
Tauro,nombre,religion,https://media.spreadthesign.com/video/mp4/5/230252.mp4
Cáncer,nombre,religion,https://media.spreadthesign.com/video/mp4/5/330489.mp4
Capricornio,nombre,religion,https://media.spreadthesign.com/video/mp4/5/330493.mp4
Géminis,nombre,religion,https://media.spreadthesign.com/video/mp4/5/230181.mp4
Acuario,nombre,religion,https://media.spreadthesign.com/video/mp4/5/276013.mp4
Aries,nombre,religion,https://media.spreadthesign.com/video/mp4/5/330553.mp4
signos de aire,nombre,religion,https://media.spreadthesign.com/video/mp4/5/288132.mp4
Escorpio,nombre,religion,https://media.spreadthesign.com/video/mp4/5/330899.mp4
magia,nombre,religion,https://media.spreadthesign.com/video/mp4/5/16319.mp4
Virgo,nombre,religion,https://media.spreadthesign.com/video/mp4/5/230262.mp4
Leo,nombre,religion,https://media.spreadthesign.com/video/mp4/5/230190.mp4
Sagitario,nombre,religion,https://media.spreadthesign.com/video/mp4/5/230238.mp4
fenómeno,nombre,religion,https://media.spreadthesign.com/video/mp4/5/272094.mp4
religión,nombre,religion,https://media.spreadthesign.com/video/mp4/5/13051.mp4
tríptico,nombre,religion,https://media.spreadthesign.com/video/mp4/5/298726.mp4
rescatador,nombre,religion,https://media.spreadthesign.com/video/mp4/5/299971.mp4
hada,nombre,religion,https://media.spreadthesign.com/video/mp4/5/175608.mp4
servicio religioso,nombre,religion,https://media.spreadthesign.com/video/mp4/5/179747.mp4
temeroso  de Dios,adjetivo,religion,https://media.spreadthesign.com/video/mp4/5/179557.mp4
reino de Dios,nombre,religion,https://media.spreadthesign.com/video/mp4/5/217143.mp4
san,nombre,religion,https://media.spreadthesign.com/video/mp4/5/179692.mp4
hindú,nombre,religion,https://media.spreadthesign.com/video/mp4/5/175632.mp4
hinduismo,nombre,religion,https://media.spreadthesign.com/video/mp4/5/175631.mp4
destino,nombre,religion,https://media.spreadthesign.com/video/mp4/5/246593.mp4
maldito,adjetivo,religion,https://media.spreadthesign.com/video/mp4/5/475933.mp4
mito,nombre,religion,https://media.spreadthesign.com/video/mp4/5/180038.mp4
vampiro,nombre,religion,https://media.spreadthesign.com/video/mp4/5/55394.mp4
cuenta,nombre,religion,https://media.spreadthesign.com/video/mp4/5/64075.mp4
bautizar,verbo,religion,https://media.spreadthesign.com/video/mp4/5/55367.mp4
bar mitzvá,nombre,religion,https://media.spreadthesign.com/video/mp4/5/66111.mp4
baptista,nombre,religion,https://media.spreadthesign.com/video/mp4/5/66485.mp4
devoción,nombre,religion,https://media.spreadthesign.com/video/mp4/5/230397.mp4
corona de flores,nombre,religion,https://media.spreadthesign.com/video/mp4/5/56303.mp4
deseo,nombre,religion,https://media.spreadthesign.com/video/mp4/5/330829.mp4
